Target,TIC,Author,Sector,Temperature,Plx,Gmag,BP-RP,Type,Spectral Type,2MASS,TESS Mag,Blend,ra,dec
HD 235495,63705801,Cody et al.,,,,,,Or*,B9,J21212751+5059475,9.46,N,320.364625,50.99652777777778
V1818 Ori,66918331,Cody et al.,,,,,,Ae*,B8,J05534254-1024006,9.53,N,88.42724999999997,-10.400166666666667
HD 144432,67671603,Cody et al.,,,,,,Ae*,A5-A7,J16065795-2743094,7.81,N,241.7414583333333,-27.719277777777776
PDS 126,72553036,Cody et al.,,,,,,TT*,A5-A7,J06133726-0625017,11.3,N,93.40525,-6.417138888888889
HD 38120,72780071,Cody et al.,,,,,,Be*,B8,J05431188-0459499,9.06,N,85.7995,-4.997194444444444
HD 38087,72781767,Cody et al.,,,,,,Or*,B5-B6,J05430057-0218454,8.05,N,85.75237499999999,-2.312611111111111
HD 36112,73816033,Cody et al.,,,,,,Ae*,A9-F0,J05302753+2519571,7.98,N,82.61470833333333,25.332527777777777
CQ Tau,74632969,Cody et al.,,,,,,Ae*,F2-F3,J05355845+2444542,9.86,N,83.99354166666664,24.74838888888889
RR Tau,75242497,Cody et al.,,,,,,Ae*,B9,J05393051+2622269,11.71,N,84.87712499999999,26.37413888888889
HD 245906,75242566,Cody et al.,,,,,,Or*,A5-A7,J05393048+2619552,10.0,N,84.877,26.332
HD 68695,81297869,Cody et al.,,,,,,Or*,B9-A0,J08114457-4405087,9.76,N,122.93570833333332,-44.085750000000004
HD 31648,85100457,Cody et al.,,,,,,Ae*,A5-A6,J04584626+2950370,7.55,N,74.69275,29.84361111111111
HD 249879,89189882,Cody et al.,,,,,,Ae*,B8,J05585578+1639573,10.64,N,89.73241666666665,16.665916666666664
VOS 465,95586779,Cody et al.,,,,,,Y*O,A7,J07092789-1212160,12.79,N,107.36620833333332,-12.204444444444444
AB Aur,96680681,Cody et al.,,,,,,Ae*,A1-A2,J04554582+3033043,6.94,N,73.94091666666667,30.551194444444445
VOS 131,97638779,Cody et al.,,,,,,Y*O,F6-G4,J06010465+1654407,11.86,N,90.269375,16.911305555555554
HD 250550,97807159,Cody et al.,,,,,,Ae*,B8,J06015998+1630567,9.37,N,90.49991666666666,16.51575
VOS 15,101186168,Cody et al.,,,,,,RC*,A6,J17332078-3234256,13.11,N,263.33658333333335,-32.57377777777778
GSC 6546-3156,107406463,Cody et al.,,,,,,Or*,B9-A0,J07241754-2616053,13.8,N,111.07308333333333,-26.26813888888889
PDS 133,107544865,Cody et al.,,,,,,TT*,B7-B8,J07250495-2545496,13.71,N,111.270625,-25.76377777777778
PX Vul,110990131,Cody et al.,,,,,,Or*,F3-F5,J19264025+2353508,10.57,N,291.6677083333333,23.897444444444442
PDS 130,120751782,Cody et al.,,,,,,TT*,B8-B9,J06495854-0738522,12.65,N,102.49391666666666,-7.647833333333333
V921 Sco,121137860,Cody et al.,,,,,,Be*,B0-B1,J16590677-4242083,9.24,N,254.7782083333333,-42.70230555555556
Z CMa,125641610,Cody et al.,,,,,,Ae*,A4-A6,J07034316-1133062,8.36,N,105.92983333333332,-11.551722222222223
HU CMa,125644224,Cody et al.,,,,,,Ae*,B7,J07040669-1126084,11.42,N,106.027875,-11.435666666666666
VOS 22,136712091,Cody et al.,,,,,,Y*O,B8,J21111906+4738476,11.8,N,317.82941666666665,47.64655555555556
VOS 522,138670679,Cody et al.,,,,,,Y*O,F1,J21200323+4657466,12.53,N,320.0134583333333,46.962944444444446
HD 288012,138941394,Cody et al.,,,,,,**,A2-A3,J05330479+0228096,9.64,Y,83.26995833333332,2.4693333333333336
VOS 336,139019368,Cody et al.,,,,,,Y*O,F6-G4,J21220592+4651406,12.03,N,320.52466666666663,46.86127777777778
HD 59319,139715411,Cody et al.,,,,,,Or*,B7-B8,J07283676-2157493,8.37,N,112.15316666666666,-21.963694444444442
